"Key"	"Source string"	"Context"	"Translation"
"resourcePack.editor.timeOfDay.clockType.tooltip"	"Switch between 24hr, 12hr, & Minecraft clocks."	"Original Translation
zh_CN: 在 24 小时制、12 小时制、Minecraft 时钟之间进行切换。
zh_TW: 在 24 小時制、12 小時制 和 Minecraft 時鐘之間切換。"	""
"resourcePack.editor.timeOfDay.currentTime"	"Current Time"	"Original Translation
zh_CN: 当前时间
zh_TW: 目前時間"	""
"resourcePack.editor.timeOfDay.currentTime.tooltip"	"Displays the current time in world."	"Original Translation
zh_CN: 显示世界中的当前时间。
zh_TW: 顯示遊戲世界中的目前時間。"	""
"resourcePack.editor.timeOfDay.customTime"	"Custom Time"	"Original Translation
zh_CN: 自定义时间
zh_TW: 自訂時間"	""
"resourcePack.editor.timeOfDay.customTime.tooltip"	"The ability to set specific time of day."	"Original Translation
zh_CN: 能够设置特定的时间。
zh_TW: 設定特定遊戲時間的功能。"	""
"resourcePack.editor.timeOfDay.daylightCycle"	"Daylight Cycle"	"Original Translation
zh_CN: 日照时长
zh_TW: 日照時長"	""
"resourcePack.editor.timeOfDay.daylightCycle.tooltip"	"Determines if Daylight Cycle is enabled or locked to a specific time."	"Original Translation
zh_CN: 确定是启用昼夜更替还是锁定到特定时间。
zh_TW: 決定是否啟用日夜循環或將時間鎖定在特定時刻。"	""
"resourcePack.editor.timeOfDay.dropDown.custom"	"Custom"	"Original Translation
zh_CN: 自定义
zh_TW: 自訂"	""
"resourcePack.editor.timeOfDay.dropDown.day"	"Day"	"Original Translation
zh_CN: 日
zh_TW: 日"	""
"resourcePack.editor.timeOfDay.dropDown.midnight"	"Midnight"	"Original Translation
zh_CN: 午夜
zh_TW: 午夜"	""
"resourcePack.editor.timeOfDay.dropDown.night"	"Night"	"Original Translation
zh_CN: 夜晚
zh_TW: 夜晚"	""
"resourcePack.editor.timeOfDay.dropDown.none"	"None"	"Original Translation
zh_CN: 无
zh_TW: 無"	""
"resourcePack.editor.timeOfDay.dropDown.noon"	"Noon"	"Original Translation
zh_CN: 中午
zh_TW: 中午"	""
"resourcePack.editor.timeOfDay.dropDown.sunrise"	"Sunrise"	"Original Translation
zh_CN: 日出
zh_TW: 清晨"	""
"resourcePack.editor.timeOfDay.dropDown.sunset"	"Sunset"	"Original Translation
zh_CN: 日落
zh_TW: 傍晚"	""
"resourcePack.editor.timeOfDay.dropDown.title"	"Presets"	"Original Translation
zh_CN: 预设
zh_TW: 預設配置"	""
"resourcePack.editor.timeOfDay.dropDown.tooltip"	"These are the presets that can be selected when choosing the Time of Day."	"Original Translation
zh_CN: 这些是在选择一天中的时间时可以选择的预设时间。
zh_TW: 這些是選擇遊戲時間時可選的預設設定。"	""
"resourcePack.editor.timeOfDay.menu.title"	"Time of Day"	"Original Translation
zh_CN: 白日时间
zh_TW: 一天中的時間"	""
"resourcePack.editor.timeOfDay.menu.tooltip"	"Open the Time of Day panel to set specific times for the world."	"Original Translation
zh_CN: 打开白日世间面板，为世界设置特定时间。
zh_TW: 開啟「一天中的時間」面板，為世界設定特定時間。"	""
"resourcePack.editor.timeOfDay.minecraftClock"	"Minecraft Clock"	"Original Translation
zh_CN: Minecraft 钟表
zh_TW: Minecraft 時鐘"	""
"resourcePack.editor.timeOfDay.title"	"Time of Day Settings"	"Original Translation
zh_CN: 时间设置
zh_TW: 時刻設定"	""
"resourcePack.editor.timeOfDay.tooltip"	"These are the settings that can be changed to determine the time set in the world."	"Original Translation
zh_CN: 这些是可以进行更改来确定世界中所设时间的设置。
zh_TW: 這些是可以變更用來決定世界時間的設定。"	""
"resourcePack.editor.toolMode.keyBinding.console.title"	"Open Chat Window"	"Original Translation
zh_CN: 打开聊天窗口
zh_TW: 開啟聊天視窗"	""
"resourcePack.editor.toolMode.keyBinding.console.tooltip"	"Open the chat window to send messages or use commands."	"Original Translation
zh_CN: 打开聊天窗口以发送消息或使用命令。
zh_TW: 開啟聊天視窗以傳送訊息或使用指令。"	""
"resourcePack.editor.toolMode.keyBinding.devConsole"	"Open Dev Console"	"Original Translation
zh_CN: 打开开发控制台
zh_TW: 開啟開發人員主控台"	""
"resourcePack.editor.toolMode.keyBinding.hotbar1.title"	"Select Hotbar 1"	"Original Translation
zh_CN: 选择快捷栏 1
zh_TW: 選取快捷列 1"	""
"resourcePack.editor.toolMode.keyBinding.hotbar1.tooltip"	"Select the first slot of the hotbar. If the hotbar is already in selected this key opens the block picker."	"Original Translation
zh_CN: 选择快捷栏的第一个槽。如果快捷栏已被选中，则该键会打开方块选择器。
zh_TW: 選取快捷列的第一格。如果已選取快捷列，此按鍵會開啟方塊選擇器。"	""
"resourcePack.editor.toolMode.keyBinding.hotbar2.title"	"Select Hotbar 2"	"Original Translation
zh_CN: 选择快捷栏 2
zh_TW: 選取快捷列 2"	""
"resourcePack.editor.toolMode.keyBinding.hotbar2.tooltip"	"Select the second slot of the hotbar. If the hotbar is already in selected this key opens the block picker."	"Original Translation
zh_CN: 选择快捷栏的第二个槽。如果快捷栏已被选中，则该键会打开方块选择器。
zh_TW: 選取快捷列的第二格。如果已選取快捷列，此按鍵會開啟方塊選擇器。"	""
"resourcePack.editor.toolMode.keyBinding.hotbar3.title"	"Select Hotbar 3"	"Original Translation
zh_CN: 选择快捷栏 3
zh_TW: 選取快捷列 3"	""
"resourcePack.editor.toolMode.keyBinding.hotbar3.tooltip"	"Select the third slot of the hotbar. If the hotbar is already in selected this key opens the block picker."	"Original Translation
zh_CN: 选择快捷栏的第三个槽。如果快捷栏已被选中，则该键会打开方块选择器。
zh_TW: 選取快捷列的第三格。如果已選取快捷列，此按鍵會開啟方塊選擇器。"	""
"resourcePack.editor.toolMode.keyBinding.hotbar4.title"	"Select Hotbar 4"	"Original Translation
zh_CN: 选择快捷栏 4
zh_TW: 選取快捷列 4"	""
"resourcePack.editor.toolMode.keyBinding.hotbar4.tooltip"	"Select the fourth slot of the hotbar. If the hotbar is already in selected this key opens the block picker."	"Original Translation
zh_CN: 选择快捷栏的第四个槽。如果快捷栏已被选中，则该键会打开方块选择器。
zh_TW: 選取快捷列的第四格。如果已選取快捷列，此按鍵會開啟方塊選擇器。"	""
"resourcePack.editor.toolMode.keyBinding.hotbar5.title"	"Select Hotbar 5"	"Original Translation
zh_CN: 选择快捷栏 5
zh_TW: 選取快捷列 5"	""
"resourcePack.editor.toolMode.keyBinding.hotbar5.tooltip"	"Select the fifth slot of the hotbar. If the hotbar is already in selected this key opens the block picker."	"Original Translation
zh_CN: 选择快捷栏的第五个槽。如果快捷栏已被选中，则该键会打开方块选择器。
zh_TW: 選取快捷列的第五格。如果已選取快捷列，此按鍵會開啟方塊選擇器。"	""
"resourcePack.editor.toolMode.keyBinding.hotbar6.title"	"Select Hotbar 6"	"Original Translation
zh_CN: 选择快捷栏 6
zh_TW: 選取快捷列 6"	""
"resourcePack.editor.toolMode.keyBinding.hotbar6.tooltip"	"Select the sixth slot of the hotbar. If the hotbar is already in selected this key opens the block picker."	"Original Translation
zh_CN: 选择快捷栏的第六个槽。如果快捷栏已被选中，则该键会打开方块选择器。
zh_TW: 選取快捷列的第六格。如果已選取快捷列，此按鍵會開啟方塊選擇器。"	""
"resourcePack.editor.toolMode.keyBinding.hotbar7.title"	"Select Hotbar 7"	"Original Translation
zh_CN: 选择快捷栏 7
zh_TW: 選取快捷列 7"	""
"resourcePack.editor.toolMode.keyBinding.hotbar7.tooltip"	"Select the seventh slot of the hotbar. If the hotbar is already in selected this key opens the block picker."	"Original Translation
zh_CN: 选择快捷栏的第七个槽。如果快捷栏已被选中，则该键会打开方块选择器。
zh_TW: 選取快捷列的第七格。如果已選取快捷列，此按鍵會開啟方塊選擇器。"	""
"resourcePack.editor.toolMode.keyBinding.hotbar8.title"	"Select Hotbar 8"	"Original Translation
zh_CN: 选择快捷栏 8
zh_TW: 選取快捷列 8"	""
"resourcePack.editor.toolMode.keyBinding.hotbar8.tooltip"	"Select the eight slot of the hotbar. If the hotbar is already in selected this key opens the block picker."	"Original Translation
zh_CN: 选择快捷栏的第八个槽。如果快捷栏已被选中，则该键会打开方块选择器。
zh_TW: 選取快捷列的第八格。如果已選取快捷列，此按鍵會開啟方塊選擇器。"	""
"resourcePack.editor.toolMode.keyBinding.hotbar9.title"	"Select Hotbar 9"	"Original Translation
zh_CN: 选择快捷栏 9
zh_TW: 選取快捷列 9"	""
"resourcePack.editor.toolMode.keyBinding.hotbar9.tooltip"	"Select the ninth slot of the hotbar. If the hotbar is already in selected this key opens the block picker."	"Original Translation
zh_CN: 选择快捷栏的第九个槽。如果快捷栏已被选中，则该键会打开方块选择器。
zh_TW: 選取快捷列的第九格。如果已選取快捷列，此按鍵會開啟方塊選擇器。"	""
"resourcePack.editor.toolMode.keyBinding.reload.title"	"Reload"	"Original Translation
zh_CN: 重新加载
zh_TW: 重新載入"	""
"resourcePack.editor.toolMode.keyBinding.reload.tooltip"	"Reload scripts."	"Original Translation
zh_CN: 重新加载脚本。
zh_TW: 重新載入指令碼"	""
"resourcePack.editor.toolRail.ExtrudeTool.keyBinding.deselect"	"Deselect"	"Original Translation
zh_CN: 取消选择
zh_TW: 取消選取"	""
"resourcePack.editor.toolRail.ExtrudeTool.keyBinding.toggleTool.title"	"Extrude"	"Original Translation
zh_CN: 挤出
zh_TW: 擠出"	""
"resourcePack.editor.toolRail.ExtrudeTool.keyBinding.toggleTool.tooltip"	"Activate the Extrude tool."	"Original Translation
zh_CN: 激活挤出工具。
zh_TW: 啟用擠出工具。"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ContiguousSelectionBlockListSubPane.title"	"Contiguous Selection Block List"	"Original Translation
zh_CN: 连续选择方块列表
zh_TW: 連續選取方塊清單"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ContiguousSelectionSettings.title"	"Contiguous Selection Settings"	"Original Translation
zh_CN: 连续选择设置
zh_TW: 連續選取設定"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ContiguousSelectionSettings.tooltip"	"Settings that change how contiguous blocks are calculated."	"Original Translation
zh_CN: 用于更改连续方块计算方式的设置。
zh_TW: 變更連續方塊計算方式的設定。"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ContiguousSelectionType.AllBlocks"	"All Blocks"	"Original Translation
zh_CN: 所有方块
zh_TW: 所有方塊"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ContiguousSelectionType.CustomBlockList"	"Custom Block List"	"Original Translation
zh_CN: 自定义方块列表
zh_TW: 自訂方塊清單"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ContiguousSelectionType.SameBlocks"	"Same Blocks"	"Original Translation
zh_CN: 相同方块
zh_TW: 相同方塊"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ContiguousSelectionType.SameBlocksAndStates"	"Same Blocks and States"	"Original Translation
zh_CN: 相同方块和状态
zh_TW: 相同方塊和狀態"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ContiguousSelectionType.SolidBlocks"	"Solid Blocks"	"Original Translation
zh_CN: 实心方块
zh_TW: 固體方塊"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ContiguousSelectionType.title"	"Contiguous Selection Type"	"Original Translation
zh_CN: 连续选择类型
zh_TW: 連續選取類型"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ContiguousSelectionType.tooltip"	"A list of the types of Contiguous Selection types."	"Original Translation
zh_CN: 连续选择类型的类型列表。
zh_TW: 連續選取範圍類型的清單。"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ExtruderSettings.title"	"Extruder Settings"	"Original Translation
zh_CN: 挤出器设置
zh_TW: 擠壓器設定"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ExtrusionType.Extrude"	"Extrude"	"Original Translation
zh_CN: 挤出
zh_TW: 擠出"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ExtrusionType.QuickExtrude"	"Quick Extrude"	"Original Translation
zh_CN: 快速挤出
zh_TW: 快速擠壓"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ExtrusionType.title"	"Extrusion Type"	"Original Translation
zh_CN: 挤出类型
zh_TW: 擠壓類型"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.HasAdjacentBlocks.title"	"Has Adjacent Blocks"	"Original Translation
zh_CN: 拥有相邻方块
zh_TW: 有相鄰的方塊"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.Radius.title"	"Radius"	"Original Translation
zh_CN: 半径
zh_TW: 半徑"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SampleLayerCount.title"	"Sample Layer Count"	"Original Translation
zh_CN: 样本层计数
zh_TW: 樣本層數"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.ContiguousSelection"	"Contiguous Selection"	"Original Translation
zh_CN: 连续选择
zh_TW: 連續選取"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.ContiguousSettings.title"	"Contiguous Selection Settings"	"Original Translation
zh_CN: 连续选择设置
zh_TW: 連續選取設定"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.LayerCount.title"	"Layer Count"	"Original Translation
zh_CN: 层计数
zh_TW: 層數"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.LayerCount.tooltip"	"The number of block layers that are added/removed during the Extrude."	"Original Translation
zh_CN: 挤出过程中添加/删除的方块层数。
zh_TW: 擠出時要新增/移除的方塊層數。"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.MarqueeSelection"	"Marquee Selection"	"Original Translation
zh_CN: 选取框选择
zh_TW: 選取框選擇"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.QuickExtrudeMode.decrease.title"	"Remove"	"Original Translation
zh_CN: 移除
zh_TW: 移除"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.QuickExtrudeMode.decrease.tooltip"	"Removes blocks when the Extrude tool is used."	"Original Translation
zh_CN: 使用挤出工具时，移除方块。
zh_TW: 使用擠出工具時移除方塊。"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.QuickExtrudeMode.expand.title"	"Expand"	"Original Translation
zh_CN: 扩展
zh_TW: 展開"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.QuickExtrudeMode.expand.tooltip"	"Adds blocks when the Extrude tool is used."	"Original Translation
zh_CN: 使用挤出工具时，添加方块。
zh_TW: 使用擠出工具時增加方塊。"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.QuickExtrudeMode.title"	"Quick Extrusion Mode"	"Original Translation
zh_CN: 快速挤出模式
zh_TW: 快速擠壓模式"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.QuickExtrudeSettings.title"	"Extrude Settings"	"Original Translation
zh_CN: 挤出设置
zh_TW: 擠出設定"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.QuickExtrudeSettings.tooltip"	"Settings that change how the Extrude tool works."	"Original Translation
zh_CN: 用于更改挤出工具工作方式的设置。
zh_TW: 變更擠出工具運作方式的設定。"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.TrailingBlocks.title"	"Trailing Blocks"	"Original Translation
zh_CN: 拖尾方块
zh_TW: 尾隨方塊"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.TrailingBlocksSettings.title"	"Trailing Blocks Settings"	"Original Translation
zh_CN: 拖尾方块设置
zh_TW: 尾隨方塊設定"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.SelectionMode.title"	"Selection Mode"	"Original Translation
zh_CN: 选择模式
zh_TW: 選取模式"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.Settings.facesize.title"	"Face Size"	"Original Translation
zh_CN: 面尺寸
zh_TW: 表面大小"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.Settings.facesize.tooltip"	"The number of contiguous blocks from the selected block used during the Extrude."	"Original Translation
zh_CN: 挤出过程中使用的所选方块中连续方块的数量。
zh_TW: 擠出時從所選方塊算起要使用的連續方塊數量。"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.ToleranceLevel.title"	"Tolerance Level"	"Original Translation
zh_CN: 容差级别
zh_TW: 容差等級"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.TrailingBlocksSettingsSubPane.title"	"Trailing Blocks Settings"	"Original Translation
zh_CN: 拖尾方块设置
zh_TW: 尾隨方塊設定"	""
"resourcePack.editor.toolRail.ExtrudeTool.pane.preview_warning"	"Note: Preview visualization only shows the first layer"	"Original Translation
zh_CN: 注意：预览版视觉效果仅显示第一层
zh_TW: 注意：預覽版視覺將只顯示第一層圖層"	""
"resourcePack.editor.toolRail.ExtrudeTool.title"	"Extrude"	"Original Translation
zh_CN: 挤出
zh_TW: 擠出"	""
"resourcePack.editor.toolRail.ExtrudeTool.tooltip"	"Extrude is a tool used for expanding and removing blocks."	"Original Translation
zh_CN: 挤出是用于扩展和移除方块的工具。
zh_TW: 擠出是用來擴展和移除方塊的工具。"	""
"resourcePack.editor.toolRail.FarmGenerator.keyBinding.toggleTool.title"	"Farm Generator"	"Original Translation
zh_CN: 农场生成器
zh_TW: 農場產生器"	""
"resourcePack.editor.toolRail.FarmGenerator.keyBinding.toggleTool.tooltip"	"Activate the Farm Generator tool."	"Original Translation
zh_CN: 激活农场生成器工具。
zh_TW: 啟用農場產生器工具。"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.animals.cow"	"Cow"	"Original Translation
zh_CN: 牛
zh_TW: 乳牛"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.animals.pig"	"Pig"	"Original Translation
zh_CN: 猪
zh_TW: 豬"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.animals.sheep"	"Sheep"	"Original Translation
zh_CN: 羊
zh_TW: 綿羊"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.animals.title"	"Animals"	"Original Translation
zh_CN: 动物
zh_TW: 動物"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.animals.tooltip"	"Select the type(s) of animals to use in your farm."	"Original Translation
zh_CN: 选择要在农场使用的动物类型。
zh_TW: 選擇要在你農場飼養的動物種類。"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.crops.beets"	"Beetroot"	"Original Translation
zh_CN: 甜菜根
zh_TW: 甜菜根"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.crops.carrot"	"Carrot"	"Original Translation
zh_CN: 胡萝卜
zh_TW: 胡蘿蔔"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.crops.potato"	"Potato"	"Original Translation
zh_CN: 马铃薯
zh_TW: 馬鈴薯"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.crops.pumpkin"	"Pumpkin"	"Original Translation
zh_CN: 南瓜
zh_TW: 南瓜"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.crops.title"	"Crops"	"Original Translation
zh_CN: 农作物
zh_TW: 作物"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.crops.tooltip"	"Select the type(s) of crops to use in your farm."	"Original Translation
zh_CN: 选择要在农场使用的农作物类型。
zh_TW: 選擇要在你農場種植的作物種類。"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.crops.wheat"	"Wheat"	"Original Translation
zh_CN: 小麦
zh_TW: 小麥"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.fence"	"Fence"	"Original Translation
zh_CN: 栅栏
zh_TW: 籬笆"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.fence.tooltip"	"The wood type of the fence that surrounds the farm."	"Original Translation
zh_CN: 围绕农场的栅栏的木材类型。
zh_TW: 農場周圍柵欄的木頭種類。"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.irrigation"	"Add Irrigation"	"Original Translation
zh_CN: 添加灌溉
zh_TW: 新增灌溉系統"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.irrigation.tooltip"	"Adds Water blocks in the farm to irrigate crops."	"Original Translation
zh_CN: 在农场中添加水方块以灌溉农作物。
zh_TW: 在農場中加入水方塊來灌溉作物。"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.length"	"Length"	"Original Translation
zh_CN: 长度
zh_TW: 時長"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.length.tooltip"	"The length that you want to make your farm."	"Original Translation
zh_CN: 你想要建造的农场长度。
zh_TW: 你想要的農場長度。"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.title"	"Farm Generator"	"Original Translation
zh_CN: 农场生成器
zh_TW: 農場產生器"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.width"	"Width"	"Original Translation
zh_CN: 宽度
zh_TW: 寬度"	""
"resourcePack.editor.toolRail.FarmGenerator.pane.width.tooltip"	"The width that you want to make your farm."	"Original Translation
zh_CN: 你想要建造的农场宽度。
zh_TW: 你想要的農場寬度。"	""
"resourcePack.editor.toolRail.FarmGenerator.tool.title"	"Farm Generator"	"Original Translation
zh_CN: 农场生成器
zh_TW: 農場產生器"	""
"resourcePack.editor.toolRail.FarmGenerator.tool.tooltip"	"Quickly create a custom farm."	"Original Translation
zh_CN: 快速创建自定义农场。
zh_TW: 快速建立自訂農場"	""
"resourcePack.editor.toolRail.RepeaterTool.keyBinding.toggleTool.title"	"Repeater"	"Original Translation
zh_CN: 重复器
zh_TW: 重複器。"	""
"resourcePack.editor.toolRail.RepeaterTool.keyBinding.toggleTool.tooltip"	"Activate the Repeater tool."	"Original Translation
zh_CN: 激活重复器工具。
zh_TW: 啟用重複器工具。"	""
"resourcePack.editor.toolRail.RepeaterTool.mode.Grid"	"Grid"	"Original Translation
zh_CN: 网格
zh_TW: 網格"	""
"resourcePack.editor.toolRail.RepeaterTool.mode.Line"	"Line"	"Original Translation
zh_CN: 行
zh_TW: 線條"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.Apply"	"Apply"	"Original Translation
zh_CN: 应用
zh_TW: 套用"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.Clear"	"Clear"	"Original Translation
zh_CN: 晴天
zh_TW: 清除"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.Mode"	"Mode"	"Original Translation
zh_CN: 模式：
zh_TW: 模式"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.Mode.tooltip"	"The repeating method used by the Repeater tool."	"Original Translation
zh_CN: 重复器工具所使用的重复方法。
zh_TW: 重複器工具使用的重複方法。"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.Preview"	"Preview"	"Original Translation
zh_CN: 预览
zh_TW: 預覽"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.RepeatAlongX"	"Repeat Along X"	"Original Translation
zh_CN: 沿 X 轴重复
zh_TW: 沿 X 軸重複"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.RepeatAlongY"	"Repeat Along Y"	"Original Translation
zh_CN: 沿 Y 轴重复
zh_TW: 沿 Y 軸重複"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.RepeatAlongZ"	"Repeat Along Z"	"Original Translation
zh_CN: 沿 Z 轴重复
zh_TW: 沿 Z 軸重複"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.RepeatType"	"Repeat Type"	"Original Translation
zh_CN: 重复类型
zh_TW: 重複類型"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.Repetitions"	"Repetitions"	"Original Translation
zh_CN: 重复
zh_TW: 重複次數"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.Repetitions.tooltip"	"The number of times the Selection contents are repeated."	"Original Translation
zh_CN: 选择内容的重复次数。
zh_TW: 選取內容的重複次數。"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.Spacing"	"Spacing"	"Original Translation
zh_CN: 间距
zh_TW: 間距"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.Spacing.tooltip"	"The distance between Repetitions."	"Original Translation
zh_CN: 重复之间的距离。
zh_TW: 重複效果之間的距離。"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.XCount"	"X Count"	"Original Translation
zh_CN: X 轴计数
zh_TW: X 軸計數"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.YCount"	"Y Count"	"Original Translation
zh_CN: Y 轴计数
zh_TW: Y 軸計數"	""
"resourcePack.editor.toolRail.RepeaterTool.pane.ZCount"	"Z Count"	"Original Translation
zh_CN: Z 轴计数
zh_TW: Z 軸計數"	""
"resourcePack.editor.toolRail.RepeaterTool.repeat.Separate"	"Separate"	"Original Translation
zh_CN: 独立
zh_TW: 分離"	""
"resourcePack.editor.toolRail.RepeaterTool.repeat.Uniform"	"Uniform"	"Original Translation
zh_CN: 轴向同化
zh_TW: 一致化"	""
"resourcePack.editor.toolRail.RepeaterTool.statusMessage.noSelection"	"Use the Selection tool to select a volume to repeat."	"Original Translation
zh_CN: 使用选择工具选择要重复的区域。
zh_TW: 使用「選取工具」來選取要重複的區域。"	""
"resourcePack.editor.toolRail.RepeaterTool.title"	"Repeater"	"Original Translation
zh_CN: 重复器
zh_TW: 重複工具"	""
"resourcePack.editor.toolRail.RepeaterTool.tooltip"	"Tool for repeating the contents of a Selection."	"Original Translation
zh_CN: 用于重复选择内容的工具。
zh_TW: 用於重複「選取範圍」內容的工具。"	""
"resourcePack.editor.toolRail.Terrain.Flatten.mode.title"	"Flatten %s"	"Original Translation
zh_CN: 平整 %s
zh_TW: 平坦化 %s"	""
"resourcePack.editor.toolRail.Terrain.Flatten.tooltip"	"Flatten terrain based on the Flatten strength.%sUse %s to cycle through Terrain modes."	"Original Translation
zh_CN: 基于平整强度的平整地形。%s使用 %s 循环切换地形模式。
zh_TW: 依據平坦強度來平坦化地形。%s使用 %s 可切換地形模式。"	""
"resourcePack.editor.toolRail.Terrain.FlattenBoth.mode.title"	"Flatten Both %s"	"Original Translation
zh_CN: 平整两个 %s
zh_TW: 雙向平坦化 %s"	""
"resourcePack.editor.toolRail.Terrain.FlattenBoth.tooltip"	"Combination of Flatten Up and Flatten Down"	"Original Translation
zh_CN: 向上平整和向下平整组合
zh_TW: 結合「向上平坦化」和「向下平坦化」模式。"	""
"resourcePack.editor.toolRail.Terrain.FlattenDown.mode.title"	"Flatten Down %s"	"Original Translation
zh_CN: 向下平整 %s
zh_TW: 向下平坦化 %s"	""
"resourcePack.editor.toolRail.Terrain.FlattenDown.tooltip"	"Remove blocks above to make an area flat"	"Original Translation
zh_CN: 移除上方的方块，让区域变平坦
zh_TW: 移除上方的方塊，讓該區域變平坦。"	""
"resourcePack.editor.toolRail.Terrain.FlattenIntensity"	"Intensity"	"Original Translation
zh_CN: 强度
zh_TW: 強度"	""
"resourcePack.editor.toolRail.Terrain.FlattenIntensity.tooltip"	"Intensity used when flattening terrain."	"Original Translation
zh_CN: 平整地形时所用的强度。
zh_TW: 平坦化地形時使用的強度。"	""
"resourcePack.editor.toolRail.Terrain.FlattenSmoothing"	"Smoothing"	"Original Translation
zh_CN: 平滑
zh_TW: 平滑化"	""
"resourcePack.editor.toolRail.Terrain.FlattenSmoothing.tooltip"	"Smoothing used when flattening terrain."	"Original Translation
zh_CN: 平整地形时所用的平滑。
zh_TW: 平滑化地形時使用的強度。"	""
"resourcePack.editor.toolRail.Terrain.FlattenUp.mode.title"	"Flatten Up %s"	"Original Translation
zh_CN: 向上平整 %s
zh_TW: 向上平坦化 %s"	""
"resourcePack.editor.toolRail.Terrain.FlattenUp.tooltip"	"Add blocks below to make an area flat"	"Original Translation
zh_CN: 在下方添加方块，让区域变平坦
zh_TW: 新增下方的方塊，讓該區域變平坦。"	""
"resourcePack.editor.toolRail.Terrain.FloorBlockOverride"	"Override Floor Block"	"Original Translation
zh_CN: 覆盖地板方块
zh_TW: 覆蓋地板方塊"	""
